1DIM S2_time_vs_thrust      
NX1 32      
0       9005.55
5       8736.03
10      8490.82
15      8266.46
20      8059.56
25      7868.18
30      7690.04
35      7523.81
40      7368
45      7213.32
50      7055.96
55      6906.37
60      6763.89
65      6627.9
70      6498.11
72.1        6445
75      6060.13
80      5436.02
85      4823.75
90      4267.25
95      3765.12
100     3302.44
105     2880.16
110     2501.75
115     2165.61
120     1861.51
125     1551.26
130     1241.01
135     930.76
140     620.5
145     310.25
150     0

1DIM S3_time_vs_thrust      
NX1 40      
0       1131.47
5       1096.49
10      1064.54
15      1035.47
20      1008.52
25      983.07
30      959.15
35      936.47
40      914.96
45      894.54
50      875.15
55      856.69
60      839.07
65      822.27
70      806.17
75      790.78
80      775.95
85      761.53
90      747.08
95      733.08
100     719.47
105     706.21
110     693.3
115     680.93
118.8       671
120     647.71
125     554.35
130     471.22
135     396.77
140     331.97
145     276.39
150     230.2
155     190.87
160     157.06
165     129.86
170     103.89
175     77.91
180     51.94
185     25.97
190     0
