sys.exec.out.time {s},dyn.V1.DM->lonx {1},dyn.V1.DM->latx {1},dyn.V1.DM->alt {1},dyn.V1.DM->_dvbi {1},dyn.V1.DM->_SBII[0] {1},dyn.V1.DM->_SBII[1] {1},dyn.V1.DM->_SBII[2] {1},dyn.V1.DM->_VBII[0] {1},dyn.V1.DM->_VBII[1] {1},dyn.V1.DM->_VBII[2] {1},dyn.V1.DM->thtbdx {1}
                   0,  -120.4899999998737,   34.67960985823102,   99.87356807664037,   382.8949328021465,   92011.78404108984,   5249939.454386522,   3608851.263716893,   -382.827287852005,   7.095644510758424,   1.203773406960323,   89.99999879258171
                 0.1,  -120.4899999999095,   34.67960985828366,   100.0575761115178,   382.9026706611446,   91973.50254533427,   5249940.232881132,   3608851.431899533,  -382.8005373109194,   8.560229306101929,   2.219528809289536,   89.92424796889566
                 0.2,  -120.4900000051195,   34.67960985874465,   100.4309499775991,   382.9122596479018,   91935.22420201638,   5249941.166763083,   3608851.707868656,  -382.7643409347072,   10.11754832348662,   3.300471694066116,   89.67787707248971
                 0.3,  -120.4900000277637,   34.67960986108663,   100.9943015296012,    382.914942276501,   91896.95022307754,   5249942.256422804,    3608852.09210476,  -382.7117737086192,   11.67587520323295,   4.384657530211294,   89.26077712191051
                 0.4,  -120.4900000913342,   34.67960986742796,   101.7479115109891,   382.9022289211936,   91858.68267574416,    5249943.50192367,   3608852.584957423,  -382.6343185648699,   13.23403952743647,   5.473149641841623,   88.67229833326952
                 0.5,   -120.490000226822,   34.67960988119334,   102.6920264875516,   382.8654621652141,   91820.42448088119,   5249944.903204585,   3608853.186874532,  -382.5232900824243,   14.79128902392191,   6.566005826319989,   87.91422545307245
                 0.6,   -120.490000475595,   34.67960990635951,   103.8268360616639,    382.799099852648,   91782.17934090328,   5249946.460110059,   3608853.898320628,  -382.3731322633171,   16.34645431059148,   7.663680748118756,   87.15101624480191
                 0.7,  -120.4900008789204,   34.67960994713918,   105.1524777812883,   382.7057379237371,   91743.95107404079,   5249948.172425104,   3608854.719751965,  -382.1864126488608,   17.89947969385966,   8.765640480647232,   86.45735354451544
                 0.8,  -120.4900014744757,   34.67961000734536,   106.6690587578341,   382.5887158411203,   91705.74316946609,    5249950.03994043,   3608855.651571561,  -381.9664389693125,   19.45045330499107,   9.871416123853685,   85.83458762473404
                 0.9,  -120.4900022977371,   34.67961009047044,   108.3766675172374,   382.4512981835432,   91667.55878885902,   5249952.062457137,   3608856.694143155,  -381.7164404569353,   20.99952956552182,   10.98063409786675,   85.26745989067713
                   1,  -120.4900033790646,   34.67961019970311,   110.2753826696426,   382.2962456911048,   91629.40079312153,   5249954.239792343,   3608857.847797634,  -381.4391389803083,   22.54693836870984,   12.09290261567642,   84.75491356141499
                 1.1,  -120.4900047478358,   34.67961033788756,   112.3652781806886,   382.1261476501542,   91591.27178520885,   5249956.571785396,   3608859.112832241,  -381.1370840336293,   24.09273481854969,   13.20818008859362,   84.29134635310528
                 1.2,   -120.490006428971,   34.67961050759762,   114.6464286632836,   381.9433050614346,   91553.17412807676,   5249959.058297214,    3608860.48952033,  -380.8125297503651,   25.63724947116899,   14.32609178849772,   83.86921425388867
                 1.3,  -120.4900084467812,   34.67961071122154,   117.1189134642482,   381.7498846898616,   91515.10996122037,   5249961.699208049,   3608861.978121381,  -380.4675925412647,   27.18080345252573,   15.44633970402116,   83.48979006721511
                 1.4,  -120.4900108215553,   34.67961095092323,   119.7828191388398,   381.5478923059005,    91477.0812237691,   5249964.494421558,   3608863.578878847,  -380.1042287477592,   28.72341559680177,   16.56909193648233,   83.15090970189706
                 1.5,  -120.4900135734797,   34.67961122854503,   122.6382409688085,   381.3389888804448,   91439.08967762711,   5249967.443871819,   3608865.292012108,  -379.7240432040243,   30.26543271967687,   17.69403954553843,   82.83761618459435
                 1.6,  -120.4900167192187,   34.67961154594277,   125.6852828189731,   381.1246803533098,   91401.13693056759,   5249970.547501678,   3608867.117746908,  -379.3284841864171,   31.80713410215217,   18.82097976874201,    82.5537709470389
                 1.7,  -120.4900202756785,      34.67961190477,   128.9240590212867,   380.9065475161028,   91363.22444453569,   5249973.805277773,   3608869.056296743,  -378.9190782317427,   33.34829358202195,   19.95047387434138,   82.29805657203882
                 1.8,  -120.4900242563886,   34.67961230695854,   132.3546950928867,   380.6858559941281,   91325.35354008508,    5249977.21716072,   3608871.107907093,  -378.4970244937335,   34.88947086223897,   21.08194076277379,   82.06787827026254
                 1.9,  -120.4900286755273,   34.67961275333965,   135.9773276830092,   380.4637202330593,   91287.52543041381,   5249980.783191544,   3608873.272729547,  -378.0633701005751,   36.43118923659888,   22.21483856754964,   81.85730982380808
                   2,   -120.490033544161,   34.67961324516433,    139.792104408145,   380.2414674492513,   91249.74121115859,   5249984.503395738,   3608875.550960428,   -377.619386212163,    37.9728870192152,   23.35021576206962,   81.66786429262532
                 2.1,  -120.4900388740063,   34.67961378406316,   143.7991838622838,   380.0200039250046,   91212.00186951923,   5249988.377785649,   3608877.942837108,  -377.1659087885545,   39.51509303992423,   24.48750809924146,   81.49717874676412
                 2.2,  -120.4900446741333,   34.67961437054756,   147.9987346529961,   379.8001567932457,   91174.30831952386,    5249992.40645373,    3608880.44850069,  -376.7036924867863,   41.05842159320853,    25.6260255066823,   81.34127571001251
                 2.3,  -120.4900509545568,   34.67961500539461,   152.3909345353022,   379.5828630604697,   91136.66139316965,   5249996.589484538,   3608883.068121845,  -376.2336167336355,   42.60226216538025,   26.76682325385843,   81.20193137813172
                 2.4,  -120.4900577225443,   34.67961569006489,   156.9759703660384,    379.368870516177,   91099.06183884451,   5250000.926928346,   3608885.801938923,  -375.7563599475652,   44.14685693700145,   27.90972766366007,    81.0769981453082
                 2.5,  -120.4900649866062,   34.67961642500736,   161.7540378374979,   379.1586698415385,   91061.51035125305,   5250005.418907451,   3608888.650103101,   -375.272337522845,   45.69299348763231,   29.05374248326564,   80.96273859040241
                 2.6,  -120.4900727527807,   34.67961721050467,   166.7253406643867,   378.9531211315555,    91024.0075673415,   5250010.065562191,   3608891.612755049,  -374.7823469256959,   47.24021091613807,    30.1997172306878,   80.85148528823326
